Tour_ID,country,continent,age_group,travel_with,total_female,total_male,purpose,main_activity,info_source,tour_arrangement,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_mainland,night_zanzibar,first_trip_tz,cost_category
tour_idcc4p5c3w,France,Europe,45-64,Spouse and Children,2,2,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,6,3,Yes,Highest Cost
tour_id3afy0zun,Sweden,Europe,18-24,Friends/Relatives,1,1,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,6,6,Yes,Lower Cost
tour_idqoeg8r1s,Kenya,Africa,25-44,Alone,1,0,Meetings and Conference,Mountain Climbing,"Travel agent, tour operator",Independent Tour,No,No,No,No,No,No,No,1,0,Yes,Lower Cost
tour_idq8d8gic6,United States of America,North America,25-44,Alone,0,1,Leisure and Holidays,Wildlife Tourism,Trade fair,Package Tour,Yes,Yes,Yes,No,No,No,Yes,1,0,Yes,High Cost
tour_idirglff5z,France,Europe,25-44,Friends/Relatives,2,0,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,No,Yes,No,No,No,0,10,Yes,High Cost
tour_iduqpubt8f,Rwanda,Africa,25-44,Alone,0,1,Visiting Friends and Relatives,Cultural Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,2,0,Yes,Lower Cost
tour_idhzic9nqa,Burundi,Africa,25-44,Alone,0,1,Visiting Friends and Relatives,Cultural Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,2,0,Yes,Lower Cost
tour_idrhjhkij9,United Kingdom,Europe,18-24,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,Others,Package Tour,No,No,No,No,Yes,No,Yes,7,7,No,Higher Cost
tour_idxiu0f07v,United States of America,North America,25-44,Spouse,1,1,Other,Diving and Sport Fishing,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,Yes,No,No,5,4,Yes,High Cost
tour_id15ra2kft,United Kingdom,Europe,18-24,Alone,1,0,Volunteering,Conference Tourism,"Travel agent, tour operator",Independent Tour,No,No,No,No,No,No,No,9,0,Yes,High Cost
tour_idvxrwkfvu,Korea,Asia,25-44,Alone,0,1,Visiting Friends and Relatives,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,No,Yes,No,No,No,3,0,Yes,Lower Cost
tour_idjfolz82a,Canada,North America,25-44,Friends/Relatives,2,0,Volunteering,Beach Tourism,Others,Independent Tour,No,No,No,No,No,No,No,17,3,Yes,Normal Cost
tour_idn88me3zf,Australia,Australia,25-44,Friends/Relatives,2,0,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,Yes,No,10,4,Yes,Higher Cost
tour_idnwtshrdq,Canada,North America,25-44,Friends/Relatives,2,0,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,60,0,No,High Cost
tour_id7xfrk7ut,Uae,Asia,25-44,Alone,1,0,Leisure and Holidays,Beach Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,1,2,Yes,Low Cost
tour_idpfec3pkc,Australia,Australia,45-64,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,No,Yes,Yes,Yes,No,6,0,Yes,Higher Cost
tour_idtkngl57b,United States of America,North America,25-44,Friends/Relatives,1,0,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,4,0,No,Normal Cost
tour_iddgbxvyvs,Burundi,Africa,18-24,Alone,0,1,Visiting Friends and Relatives,Cultural Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,1,0,No,Lower Cost
tour_idz5kdxhx4,Belgium,Europe,18-24,Alone,1,0,Volunteering,Cultural Tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,No,No,No,11,0,Yes,Normal Cost
tour_idrsvtfv1r,Malawi,Africa,25-44,Friends/Relatives,3,0,Meetings and Conference,Diving and Sport Fishing,Others,Independent Tour,No,No,No,No,No,No,No,4,0,No,Normal Cost
tour_idnkugosii,United States of America,North America,25-44,Alone,0,1,Visiting Friends and Relatives,Hunting Tourism,Others,Independent Tour,No,No,No,No,No,No,No,10,0,Yes,High Cost
tour_idp0m66m05,France,Europe,25-44,Alone,1,0,Business,Wildlife Tourism,"Travel agent, tour operator",Independent Tour,No,No,No,No,No,No,No,14,0,Yes,Normal Cost
tour_idvloxjl94,United States of America,North America,45-64,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,No,No,No,No,No,Yes,No,9,0,Yes,Higher Cost
tour_idh2s4urq6,Sweden,Europe,45-64,Spouse,1,1,Leisure and Holidays,Cultural Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,0,9,No,High Cost
tour_idlxrujvih,France,Europe,45-64,Alone,0,1,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,0,Yes,High Cost
tour_id5dyz5tkg,Italy,Europe,18-24,Friends/Relatives,1,0,Volunteering,Hunting Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,27,0,Yes,Lower Cost
tour_idb70g2wrs,Italy,Europe,25-44,Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,0,7,Yes,High Cost
tour_idu9nt148c,Germany,Europe,45-64,Spouse,0,0,Scientific and Academic,Business,"Friends, relatives",Independent Tour,No,No,No,No,Yes,No,No,15,0,No,Normal Cost
tour_idemuuhk5m,Uae,Asia,45-64,Alone,1,0,Leisure and Holidays,Cultural Tourism,"Radio, TV, Web",Independent Tour,No,No,No,No,No,No,No,0,4,Yes,Normal Cost
tour_id4cr2m7lm,Denmark,Europe,45-64,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,10,0,Yes,Normal Cost
tour_id1ele70eq,Kenya,Africa,25-44,Alone,0,1,Meetings and Conference,Hunting Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,2,0,No,Lower Cost
tour_idwl2xqxog,France,Europe,25-44,Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,Yes,Yes,Yes,0,7,Yes,High Cost
tour_idp3lzae3v,United Kingdom,Europe,25-44,Friends/Relatives,2,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,Yes,5,3,Yes,Higher Cost
tour_idh1qc1m1m,Uganda,Africa,25-44,With children,1,1,Meetings and Conference,Mountain Climbing,"Newspaper, magazines, brochures",Independent Tour,No,No,No,No,No,No,No,5,0,Yes,Low Cost
tour_idiiybszgx,Kenya,Africa,45-64,Alone,0,1,Business,Wildlife Tourism,"Newspaper, magazines, brochures",Independent Tour,No,No,No,No,No,No,No,2,0,No,Low Cost
tour_idn75sljm5,France,Europe,25-44,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,9,2,Yes,Higher Cost
tour_idpxx378gl,United States of America,North America,25-44,Alone,0,1,Visiting Friends and Relatives,Wildlife Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,6,0,Yes,Normal Cost
tour_idvnq4gksk,India,Asia,25-44,Friends/Relatives,0,2,Visiting Friends and Relatives,Hunting Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,6,0,No,Normal Cost
tour_idzmdj54pt,United States of America,North America,65+,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,12,0,Yes,Higher Cost
tour_idj4viwebv,Italy,Europe,25-44,Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,0,7,Yes,High Cost
tour_idmr4mbtq8,Germany,Europe,45-64,Friends/Relatives,3,2,Visiting Friends and Relatives,Wildlife Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,14,0,No,Normal Cost
tour_idknd1or5a,Kenya,Africa,25-44,Alone,1,0,Visiting Friends and Relatives,Hunting Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,7,0,No,Low Cost
tour_idqroio2v5,France,Europe,25-44,Friends/Relatives,1,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,6,Yes,High Cost
tour_id3xrhwpf4,Italy,Europe,45-64,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,"Radio, TV, Web",Package Tour,Yes,Yes,Yes,Yes,Yes,No,Yes,8,2,Yes,Higher Cost
tour_idcz49ly49,Zambia,Africa,25-44,Alone,1,0,Visiting Friends and Relatives,Hunting Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,4,0,No,Low Cost
tour_id1wwou681,Germany,Europe,45-64,Alone,0,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,0,Yes,Higher Cost
tour_idawtwfjqa,Bahrain,Asia,45-64,Spouse,1,1,Leisure and Holidays,Beach Tourism,"Newspaper, magazines, brochures",Package Tour,Yes,Yes,No,No,No,No,No,0,6,Yes,High Cost
tour_idetx0mp4p,Germany,Europe,45-64,With children,2,2,Leisure and Holidays,Conference Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,15,5,Yes,High Cost
tour_idrxfar37d,Uganda,Africa,25-44,Alone,0,1,Leisure and Holidays,Beach Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,7,7,No,High Cost
tour_id5y0vjf57,Germany,Europe,45-64,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,8,0,Yes,Higher Cost
tour_ide4x0prc2,France,Europe,25-44,Friends/Relatives,4,4,Leisure and Holidays,Beach Tourism,"Newspaper, magazines, brochures",Independent Tour,No,No,No,No,No,No,No,0,5,Yes,Low Cost
tour_idojp1p611,Zimbabwe,Africa,45-64,Alone,0,1,Business,Wildlife Tourism,"Travel agent, tour operator",Independent Tour,No,No,No,No,No,No,No,2,0,No,Low Cost
tour_idommcdnr9,New Zealand,Australia,25-44,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,Yes,No,5,0,Yes,Normal Cost
tour_idyqye7mmc,United States of America,North America,45-64,Alone,1,0,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,Yes,No,Yes,6,0,Yes,High Cost
tour_id52162xn5,Italy,Europe,45-64,Alone,0,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,Yes,Yes,7,0,Yes,Higher Cost
tour_idc945bzfk,Poland,Europe,25-44,With children,1,2,Leisure and Holidays,Beach Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,8,0,Yes,Normal Cost
tour_idk6bw6ng2,Sweden,Europe,45-64,Alone,0,1,Visiting Friends and Relatives,Hunting Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,15,0,No,Normal Cost
tour_id1yobzvwj,Kenya,Africa,45-64,Alone,0,1,Business,Diving and Sport Fishing,"Travel agent, tour operator",Independent Tour,No,No,No,No,No,No,No,30,0,No,Normal Cost
tour_idsuh513hq,Kenya,Africa,45-64,Alone,0,1,Meetings and Conference,Conference Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,3,0,No,Normal Cost
tour_idnay85the,Germany,Europe,18-24,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,"Radio, TV, Web",Independent Tour,No,No,No,No,No,No,No,60,0,Yes,Normal Cost
tour_idi2ng4zow,Kenya,Africa,25-44,Alone,0,1,Leisure and Holidays,Diving and Sport Fishing,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,4,0,No,Low Cost
tour_id9kscd7k7,Denmark,Europe,<18,Friends/Relatives,1,1,Leisure and Holidays,Conference Tourism,Others,Package Tour,Yes,Yes,Yes,Yes,No,Yes,Yes,7,0,Yes,Higher Cost
tour_id0s846n5g,United Kingdom,Europe,25-44,Friends/Relatives,3,1,Leisure and Holidays,Diving and Sport Fishing,"Newspaper, magazines, brochures",Package Tour,No,Yes,Yes,Yes,No,Yes,No,12,0,Yes,Higher Cost
tour_idb8ul1ybc,Burundi,Africa,25-44,Alone,0,1,Visiting Friends and Relatives,Cultural Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,1,0,No,Lower Cost
tour_idt47zqyjr,Zimbabwe,Africa,45-64,Alone,0,1,Business,Diving and Sport Fishing,Others,Independent Tour,No,No,No,No,No,No,No,4,0,Yes,Lower Cost
tour_idyhaij7km,United Kingdom,Europe,18-24,Alone,1,0,Leisure and Holidays,Beach Tourism,"Radio, TV, Web",Independent Tour,No,No,No,No,No,No,No,6,4,Yes,Normal Cost
tour_idpa58tc6x,United Kingdom,Europe,45-64,Spouse and Children,1,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,8,5,Yes,Higher Cost
tour_id662mgxlk,United States of America,North America,25-44,Alone,0,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Independent Tour,No,No,No,No,No,No,No,4,0,Yes,High Cost
tour_id1zhgkmui,France,Europe,45-64,Spouse,1,0,Leisure and Holidays,Cultural Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,No,7,0,Yes,High Cost
tour_idibo2r8iv,France,Europe,45-64,Spouse and Children,3,4,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,8,No,Higher Cost
tour_idrfwicro6,Australia,Australia,18-24,Friends/Relatives,1,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,Yes,No,Yes,7,6,Yes,Higher Cost
tour_idfoejfy7m,Uae,Asia,25-44,Spouse,1,1,Leisure and Holidays,Beach Tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,No,No,No,1,3,No,High Cost
tour_idl3lrlvb8,France,Europe,45-64,Spouse and Children,3,3,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,4,6,Yes,Highest Cost
tour_idgj8hm932,Korea,Asia,25-44,Alone,1,0,Leisure and Holidays,Beach Tourism,Tanzania Mission Abroad,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,7,Yes,High Cost
tour_idhoez3qeq,South Africa,Africa,25-44,Spouse and Children,3,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,No,Yes,0,7,No,Highest Cost
tour_idtbxvfitp,United Kingdom,Europe,25-44,Spouse,1,1,Visiting Friends and Relatives,Mountain Climbing,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,3,4,No,Lower Cost
tour_idnl84ucur,France,Europe,65+,Spouse,1,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,15,5,No,Higher Cost
tour_ideuas6z14,Ukrain,Europe,45-64,Alone,1,0,Other,Hunting Tourism,Others,Independent Tour,No,No,No,No,No,No,No,1,0,No,Lower Cost
tour_id41ddgqz9,South Africa,Africa,25-44,Spouse and Children,2,2,Leisure and Holidays,Beach Tourism,"Radio, TV, Web",Package Tour,No,Yes,Yes,Yes,No,Yes,Yes,0,7,Yes,High Cost
tour_ida48ztpdl,United States of America,North America,25-44,Alone,0,1,Visiting Friends and Relatives,Wildlife Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,20,0,Yes,Normal Cost
tour_id0d78zqf9,United States of America,North America,25-44,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,Yes,No,8,4,Yes,High Cost
tour_id3r7etspk,Burundi,Africa,45-64,Alone,0,1,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,4,0,No,Lower Cost
tour_id0lomlh9b,Italy,Europe,65+,Friends/Relatives,1,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,11,0,Yes,High Cost
tour_idyvkow12d,Italy,Europe,25-44,Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Independent Tour,Yes,Yes,Yes,No,No,No,No,0,6,Yes,High Cost
tour_id73d5cw38,Switzerland,Europe,45-64,Friends/Relatives,2,0,Visiting Friends and Relatives,Diving and Sport Fishing,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,19,2,Yes,Normal Cost
tour_idirgo3lbu,Germany,Europe,25-44,Friends/Relatives,1,1,Leisure and Holidays,Diving and Sport Fishing,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,32,5,Yes,High Cost
tour_idms7dtfdg,South Africa,Africa,45-64,Alone,1,0,Visiting Friends and Relatives,Hunting Tourism,"Friends, relatives",Package Tour,Yes,Yes,No,No,No,No,No,1,0,No,Normal Cost
tour_idx8gqy72o,Spain,Europe,25-44,Alone,0,1,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,2,0,No,Normal Cost
tour_idbuk6tuy6,United Kingdom,Europe,18-24,Alone,1,0,Scientific and Academic,Conference Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,29,0,Yes,Low Cost
tour_idt4k4n55a,Portugal,Europe,18-24,Alone,0,1,Volunteering,Beach Tourism,"Travel agent, tour operator",Independent Tour,No,No,No,No,No,No,No,26,2,Yes,Normal Cost
tour_idxkrzyyya,Finland,Europe,18-24,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,"Newspaper, magazines, brochures",Independent Tour,No,No,No,No,No,No,No,5,6,Yes,Normal Cost
tour_ida03t9h7l,Germany,Europe,45-64,With children,1,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,Yes,Yes,9,3,Yes,High Cost
tour_id78fn6q5l,United Kingdom,Europe,18-24,Alone,0,1,Leisure and Holidays,Diving and Sport Fishing,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,No,Yes,No,4,0,No,Normal Cost
tour_idbg1rkt8e,India,Asia,25-44,Alone,0,1,Meetings and Conference,Mountain Climbing,Others,Independent Tour,No,No,No,No,No,No,No,60,0,No,Low Cost
tour_id38h5y3j4,Italy,Europe,25-44,Spouse,1,1,Leisure and Holidays,Beach Tourism,"Radio, TV, Web",Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,1,6,Yes,High Cost
tour_id13wz41v2,Uganda,Africa,65+,Alone,0,1,Visiting Friends and Relatives,Hunting Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,2,0,Yes,Lower Cost
tour_idz2j9r478,United States of America,North America,25-44,Alone,1,0,Visiting Friends and Relatives,Hunting Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,4,0,Yes,Normal Cost
tour_idmhf7ngoh,Ukrain,Europe,45-64,Alone,0,1,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,No,No,No,No,6,0,Yes,Normal Cost
tour_idngma2uep,France,Europe,25-44,Alone,0,1,Leisure and Holidays,Wildlife Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,16,0,Yes,Normal Cost
tour_id1mdpr1cy,Italy,Europe,45-64,Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,Yes,0,7,Yes,High Cost
tour_id3xcbwxos,Burundi,Africa,18-24,Alone,0,1,Visiting Friends and Relatives,Cultural Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,2,0,No,Lower Cost
tour_id55m163b5,Australia,Australia,25-44,Alone,0,1,Leisure and Holidays,Diving and Sport Fishing,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,No,Yes,No,5,6,Yes,High Cost
tour_id8bbd37za,United States of America,North America,25-44,Alone,0,1,Scientific and Academic,Diving and Sport Fishing,"Travel agent, tour operator",Independent Tour,No,No,No,No,No,No,No,1,0,Yes,Lower Cost
tour_id1dvvfvpu,Japan,Asia,18-24,Alone,0,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,3,0,Yes,Normal Cost
tour_id1fng9skw,United Kingdom,Europe,18-24,Alone,0,1,Leisure and Holidays,Hunting Tourism,"Friends, relatives",Package Tour,No,Yes,No,Yes,No,No,No,7,5,Yes,High Cost
tour_idm8a6n2sm,United States of America,North America,45-64,Spouse,1,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,0,Yes,Higher Cost
tour_idgyb6t44q,United Kingdom,Europe,25-44,Alone,1,0,Visiting Friends and Relatives,Cultural Tourism,Others,Independent Tour,No,No,No,No,No,No,No,15,2,No,Normal Cost
tour_idgkspwcjn,Germany,Europe,45-64,Alone,1,0,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,No,Yes,10,0,Yes,High Cost
tour_idbuuez69d,South Africa,Africa,45-64,Friends/Relatives,0,2,Business,Diving and Sport Fishing,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,7,0,No,Normal Cost
tour_id4kxqzqbh,Germany,Europe,45-64,Spouse,1,1,Leisure and Holidays,Beach Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,5,0,Yes,Lower Cost
tour_idv55shefg,Rwanda,Africa,25-44,Alone,0,1,Business,Beach Tourism,"Travel agent, tour operator",Independent Tour,No,No,No,No,No,No,No,2,0,Yes,Low Cost
tour_id0nxordjq,Australia,Australia,18-24,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,No,No,No,9,5,Yes,Higher Cost
tour_idaa4jhjp7,Drc,Africa,45-64,Alone,1,0,Visiting Friends and Relatives,Cultural Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,1,0,Yes,Lower Cost
tour_idhnof7tba,Malaysia,Asia,25-44,Alone,0,1,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,0,61,Yes,Normal Cost
tour_idivgne9mu,India,Asia,25-44,Alone,0,1,Visiting Friends and Relatives,Diving and Sport Fishing,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,No,No,No,7,0,Yes,High Cost
tour_idbwobfcgp,Burundi,Africa,<18,Alone,1,0,Visiting Friends and Relatives,Business,"Newspaper, magazines, brochures",Independent Tour,No,No,No,No,No,No,No,3,0,No,Lower Cost
tour_id95jkkjh8,United States of America,North America,25-44,Alone,0,1,Business,Hunting Tourism,"Radio, TV, Web",Independent Tour,No,No,No,No,No,No,No,3,0,Yes,Normal Cost
tour_idou8fjsi1,United States of America,North America,25-44,Friends/Relatives,1,1,Leisure and Holidays,Beach Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,4,5,No,Normal Cost
tour_idr6j0zq00,Italy,Europe,45-64,Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,0,7,Yes,Normal Cost
tour_id2pyinyc7,France,Europe,25-44,Alone,0,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,15,0,Yes,High Cost
tour_id85wydqdg,Qatar,Asia,25-44,Alone,1,0,Business,Diving and Sport Fishing,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,30,0,Yes,Normal Cost
tour_id7lszveky,Rwanda,Africa,25-44,Alone,0,1,Meetings and Conference,Diving and Sport Fishing,"Newspaper, magazines, brochures",Independent Tour,No,No,No,No,No,No,No,0,3,No,Low Cost
tour_idtuc9zfs9,Germany,Europe,25-44,Alone,0,1,Meetings and Conference,Cultural Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,2,0,Yes,Lower Cost
tour_idu0agq835,Canada,North America,25-44,Friends/Relatives,2,0,Meetings and Conference,Conference Tourism,Others,Independent Tour,No,No,No,No,No,No,No,5,0,No,Normal Cost
tour_idd5hfpxcl,United States of America,North America,<18,Alone,0,1,Leisure and Holidays,Cultural Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,Yes,No,10,0,Yes,Normal Cost
tour_idkdau6tow,Italy,Europe,25-44,Spouse,1,1,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,Yes,Yes,Yes,0,7,No,High Cost
tour_id3mtuugdq,Canada,North America,45-64,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,6,4,Yes,Higher Cost
tour_idslcygd51,China,Asia,25-44,Friends/Relatives,2,2,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,No,Yes,Yes,No,Yes,No,No,9,0,Yes,Higher Cost
tour_id8inipjbx,Switzerland,Europe,25-44,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,Yes,No,11,8,Yes,Higher Cost
tour_idvvfcm1rl,Mauritius,Africa,45-64,Alone,1,0,Visiting Friends and Relatives,Diving and Sport Fishing,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,13,0,Yes,Low Cost
tour_idg7dhgr7e,Kenya,Africa,18-24,Alone,1,0,Scientific and Academic,Hunting Tourism,Others,Package Tour,No,Yes,Yes,Yes,No,Yes,No,3,0,Yes,Lower Cost
tour_idzaq128uz,Mexico,North America,45-64,Alone,0,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Independent Tour,No,No,No,No,No,No,No,7,0,No,Normal Cost
tour_ididijg8bo,United Kingdom,Europe,25-44,Alone,0,1,Leisure and Holidays,Conference Tourism,"Radio, TV, Web",Independent Tour,No,No,No,No,No,No,No,7,0,No,Normal Cost
tour_idwq8jd0hj,Zimbabwe,Africa,25-44,Alone,0,1,Business,Hunting Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,2,0,No,Low Cost
tour_idsmfjze6t,Germany,Europe,45-64,Spouse and Children,2,3,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,7,3,No,Higher Cost
tour_idvvp7ql59,United Kingdom,Europe,18-24,Spouse,1,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,No,Yes,Yes,Yes,No,10,5,Yes,Higher Cost
